Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2024-03-01,Breakfast,384.0,18.0,8.1,1.8,0.6,0.0,35.0,568.0,194.0,37.2,16.8,4.4,29.2,6.0,1.2,29.0,9.6,
2024-03-01,Dinner,898.2,34.5,11.9,7.9,11.5,0.6,151.2,1920.1,903.3,80.9,7.7,8.9,63.2,14.0,7.4,45.9,39.3,
2024-03-01,Lunch,861.3,62.7,8.4,12.2,39.1,0.0,93.8,1170.6,1121.4,31.3,6.0,3.4,47.8,0.0,4.7,20.9,26.2,
2024-03-02,Breakfast,749.1,54.6,6.8,26.3,14.8,0.0,5.0,461.5,621.3,48.0,23.0,7.5,35.4,0.6,2.1,24.3,22.7,
2024-03-02,Dinner,599.4,39.1,5.7,6.5,24.5,0.0,151.4,1159.8,796.2,9.1,2.7,1.4,52.1,0.0,4.7,7.2,12.5,
2024-03-02,Lunch,764.6,38.4,6.0,5.9,23.3,0.0,172.8,642.8,780.1,43.5,2.7,0.4,58.0,0.0,0.0,1.8,10.5,
2024-03-03,Breakfast,684.8,44.9,7.0,9.8,20.6,0.0,5.0,610.3,664.8,50.0,23.2,8.2,37.8,0.0,1.2,22.2,19.0,
2024-03-03,Dinner,944.8,29.7,4.8,8.2,11.4,0.0,172.8,799.4,825.6,90.4,14.4,8.8,75.8,0.0,0.0,6.4,27.2,
2024-03-03,Lunch,1033.9,67.4,10.7,5.2,20.9,0.0,30.0,325.3,200.6,61.7,4.5,2.8,44.3,6.0,1.2,21.7,9.7,
2024-03-04,Breakfast,735.0,43.8,8.2,8.6,20.9,0.0,492.6,539.2,1025.0,82.1,22.7,37.8,44.5,18.6,92.7,20.7,21.2,
2024-03-04,Dinner,470.6,12.7,3.8,2.2,4.7,0.0,396.2,200.0,468.9,44.5,2.7,1.4,41.4,31.1,0.0,5.7,14.5,
2024-03-04,Lunch,672.5,44.9,6.6,7.8,26.5,0.0,172.8,852.4,746.8,8.9,2.7,1.3,57.1,0.0,3.4,6.3,13.7,
2024-03-05,Breakfast,777.6,56.3,8.0,24.6,16.5,0.0,522.6,861.7,1100.1,54.7,20.9,21.1,52.5,14.2,76.5,22.7,23.4,
2024-03-05,Dinner,904.4,68.2,11.3,3.8,23.2,0.5,42.0,912.3,55.7,29.0,1.0,3.9,43.0,31.7,0.0,47.9,8.3,
2024-03-05,Lunch,1050.5,69.6,11.6,16.7,37.0,0.0,172.8,1226.4,938.8,34.3,6.1,6.1,68.4,2.0,3.4,11.6,22.3,
2024-03-06,Breakfast,782.2,54.8,6.6,25.5,15.5,0.0,5.3,352.1,685.5,55.3,23.8,11.3,37.0,0.6,1.1,25.4,23.8,
2024-03-06,Dinner,570.2,39.0,6.7,4.3,22.7,0.0,75.0,828.5,618.3,27.0,1.5,0.0,27.0,0.0,0.0,0.0,0.8,
2024-03-06,Lunch,871.0,36.2,6.3,10.5,15.9,0.0,172.8,1002.7,1084.8,60.8,7.8,6.5,70.1,0.0,3.4,8.1,20.8,
2024-03-07,Breakfast,608.3,39.1,6.9,5.4,10.2,0.0,5.0,777.7,746.4,45.0,21.9,7.2,32.1,0.0,5.2,11.1,14.8,
2024-03-07,Dinner,347.6,15.8,4.1,2.9,5.7,0.0,443.4,532.7,533.3,1.0,0.0,1.0,46.6,30.5,0.0,5.2,8.7,
2024-03-07,Lunch,1144.5,65.9,12.3,8.0,27.6,0.0,297.3,1417.6,1248.8,26.9,2.7,15.2,109.2,0.0,4.2,47.9,30.8,
2024-03-08,Breakfast,521.4,27.3,4.7,4.6,10.9,0.0,5.3,428.3,489.6,51.3,20.7,10.0,32.7,0.0,0.2,12.2,13.9,
2024-03-08,Dinner,886.8,29.8,11.4,6.1,8.7,0.6,208.8,1915.4,1001.6,72.0,5.0,7.6,77.3,14.0,4.0,41.3,32.4,
2024-03-08,Lunch,1220.5,72.9,12.3,14.4,39.7,0.0,220.4,1791.8,1288.8,62.4,7.3,3.7,82.3,48.5,11.0,26.8,46.6,
